Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1973,2815.681824324," (adjusted for inflation, 2019 dollars)",1973,$2.8B,,1,$11.6B,,$11611.7B,2815.681824324,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1974,2848.008608519," (adjusted for inflation, 2019 dollars)",1974,$2.8B,,1,$11.4B,,$11407.1B,2848.008608519,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1975,2770.409498141," (adjusted for inflation, 2019 dollars)",1975,$2.8B,,1,$11.4B,,$11350.1B,2770.409498141,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1976,3047.215771529," (adjusted for inflation, 2019 dollars)",1976,$3.0B,,1,$12.3B,,$12298.0B,3047.215771529,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1977,3421.416287129," (adjusted for inflation, 2019 dollars)",1977,$3.4B,,1,$14.8B,,$14769.0B,3421.416287129,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1978,3717.221411043," (adjusted for inflation, 2019 dollars)",1978,$3.7B,,1,$16.2B,,$16199.7B,3717.221411043,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1979,2409.725690083," (adjusted for inflation, 2019 dollars)",1979,$2.4B,,1,$12.9B,,$12943.1B,2409.725690083,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1980,1635.087851942," (adjusted for inflation, 2019 dollars)",1980,$1.6B,,1,$11.4B,,$11423.9B,1635.087851942,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1981,880.315082508," (adjusted for inflation, 2019 dollars)",1981,,$880.3M,1,$11.2B,,$11176.6B,880.315082508,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1982,95.374632124," (adjusted for inflation, 2019 dollars)",1982,,$95.4M,1,$9.6B,,$9613.2B,95.374632124,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1983,44.149602410," (adjusted for inflation, 2019 dollars)",1983,,$44.1M,1,$9.7B,,$9719.1B,44.149602410,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1984,254.180636189," (adjusted for inflation, 2019 dollars)",1984,,$254.2M,1,$10.7B,,$10666.0B,254.180636189,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1985,925.449828067," (adjusted for inflation, 2019 dollars)",1985,,$925.4M,1,$10.4B,,$10365.3B,925.449828067,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1986,2169.585544708," (adjusted for inflation, 2019 dollars)",1986,$2.2B,,1,$10.8B,,$10825.1B,2169.585544708,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1987,3586.399605634," (adjusted for inflation, 2019 dollars)",1987,$3.6B,,1,$12.5B,,$12521.8B,3586.399605634,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1988,4516.462927303," (adjusted for inflation, 2019 dollars)",1988,$4.5B,,1,$13.5B,,$13517.0B,4516.462927303,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1989,5335.190475," (adjusted for inflation, 2019 dollars)",1989,$5.3B,,1,$13.6B,,$13566.7B,5335.190475,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1990,6751.535586840," (adjusted for inflation, 2019 dollars)",1990,$6.8B,,1,$14.8B,,$14750.8B,6751.535586840,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1991,8142.168640969," (adjusted for inflation, 2019 dollars)",1991,$8.1B,,1,$14.7B,,$14705.3B,8142.168640969,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1992,9706.037138275," (adjusted for inflation, 2019 dollars)",1992,$9.7B,,1,$16.4B,,$16443.7B,9706.037138275,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1993,11520.311348097," (adjusted for inflation, 2019 dollars)",1993,$11.5B,,1,$17.8B,,$17775.0B,11520.311348097,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1994,14601.947884615," (adjusted for inflation, 2019 dollars)",1994,$14.6B,,1,$20.8B,,$20818.3B,14601.947884615,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1995,15730.957688976," (adjusted for inflation, 2019 dollars)",1995,$15.7B,,1,$20.7B,,$20667.8B,15730.957688976,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1996,16187.862319312," (adjusted for inflation, 2019 dollars)",1996,$16.2B,,1,$20.4B,,$20422.9B,16187.862319312,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1997,15793.549661682," (adjusted for inflation, 2019 dollars)",1997,$15.8B,,1,$19.5B,,$19491.7B,15793.549661682,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1998,17905.400687117," (adjusted for inflation, 2019 dollars)",1998,$17.9B,,1,$21.5B,,$21505.3B,17905.400687117,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1999,19667.327785714," (adjusted for inflation, 2019 dollars)",1999,$19.7B,,1,$22.4B,,$22381.0B,19667.327785714,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2000,19618.928144599," (adjusted for inflation, 2019 dollars)",2000,$19.6B,,1,$21.3B,,$21265.7B,19618.928144599,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2001,18635.677446640," (adjusted for inflation, 2019 dollars)",2001,$18.6B,,1,$19.8B,,$19843.7B,18635.677446640,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2002,17115.944823235," (adjusted for inflation, 2019 dollars)",2002,$17.1B,,1,$17.9B,,$17928.4B,17115.944823235,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2003,15607.443017935," (adjusted for inflation, 2019 dollars)",2003,$15.6B,,1,$16.5B,,$16471.0B,15607.443017935,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2004,15491.677345156," (adjusted for inflation, 2019 dollars)",2004,$15.5B,,1,$16.7B,,$16707.8B,15491.677345156,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2005,13771.442761905," (adjusted for inflation, 2019 dollars)",2005,$13.8B,,1,$16.1B,,$16088.1B,13771.442761905,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2006,11885.767848214," (adjusted for inflation, 2019 dollars)",2006,$11.9B,,1,$14.9B,,$14912.7B,11885.767848214,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2007,9190.702658466," (adjusted for inflation, 2019 dollars)",2007,$9.2B,,1,$13.1B,,$13135.4B,9190.702658466,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2008,6496.779627316," (adjusted for inflation, 2019 dollars)",2008,$6.5B,,1,$10.4B,,$10421.8B,6496.779627316,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2009,5146.578220074," (adjusted for inflation, 2019 dollars)",2009,$5.1B,,1,$9.3B,,$9332.0B,5146.578220074,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2010,3973.859172873," (adjusted for inflation, 2019 dollars)",2010,$4.0B,,1,$8.2B,,$8223.2B,3973.859172873,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2011,3524.136143132," (adjusted for inflation, 2019 dollars)",2011,$3.5B,,1,$8.1B,,$8110.0B,3524.136143132,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2012,2767.776148872," (adjusted for inflation, 2019 dollars)",2012,$2.8B,,1,$7.8B,,$7812.2B,2767.776148872,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2013,2349.534897314," (adjusted for inflation, 2019 dollars)",2013,$2.3B,,1,$7.7B,,$7720.6B,2349.534897314,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2014,1918.215114615," (adjusted for inflation, 2019 dollars)",2014,$1.9B,,1,$7.2B,,$7229.8B,1918.215114615,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2015,1558.633451938," (adjusted for inflation, 2019 dollars)",2015,$1.6B,,1,$7.2B,,$7238.6B,1558.633451938,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2016,1204.497778348," (adjusted for inflation, 2019 dollars)",2016,$1.2B,,1,$8.1B,,$8072.8B,1204.497778348,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2017,1102.774352450," (adjusted for inflation, 2019 dollars)",2017,$1.1B,,1,$9.2B,,$9174.7B,1102.774352450,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2018,711.041239463," (adjusted for inflation, 2019 dollars)",2018,,$711.0M,1,$10.0B,,$10024.6B,711.041239463,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),2019,614.509779894," (adjusted for inflation, 2019 dollars)",2019,,$614.5M,1,$11.1B,,$11111.6B,614.509779894,2019
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1988,21.178686391," (adjusted for inflation, 2019 dollars)",1988,,$21.2M,1,$13.5B,,$13517.0B,21.178686391,1988
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1990,11.736358072," (adjusted for inflation, 2019 dollars)",1990,,$11.7M,1,$14.8B,,$14750.8B,11.736358072,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1991,65.885174009," (adjusted for inflation, 2019 dollars)",1991,,$65.9M,1,$14.7B,,$14705.3B,65.885174009,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1992,82.181972202," (adjusted for inflation, 2019 dollars)",1992,,$82.2M,1,$16.4B,,$16443.7B,82.181972202,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1993,81.031768858," (adjusted for inflation, 2019 dollars)",1993,,$81.0M,1,$17.8B,,$17775.0B,81.031768858,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1994,96.777042510," (adjusted for inflation, 2019 dollars)",1994,,$96.8M,1,$20.8B,,$20818.3B,96.777042510,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1995,186.039116142," (adjusted for inflation, 2019 dollars)",1995,,$186.0M,1,$20.7B,,$20667.8B,186.039116142,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1996,299.977397706," (adjusted for inflation, 2019 dollars)",1996,,$300.0M,1,$20.4B,,$20422.9B,299.977397706,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1997,434.377968224," (adjusted for inflation, 2019 dollars)",1997,,$434.4M,1,$19.5B,,$19491.7B,434.377968224,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1998,334.393082209," (adjusted for inflation, 2019 dollars)",1998,,$334.4M,1,$21.5B,,$21505.3B,334.393082209,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),1999,341.285214886," (adjusted for inflation, 2019 dollars)",1999,,$341.3M,1,$22.4B,,$22381.0B,341.285214886,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2000,211.859778746," (adjusted for inflation, 2019 dollars)",2000,,$211.9M,1,$21.3B,,$21265.7B,211.859778746,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2001,114.619795596," (adjusted for inflation, 2019 dollars)",2001,,$114.6M,1,$19.8B,,$19843.7B,114.619795596,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2002,27.853680934," (adjusted for inflation, 2019 dollars)",2002,,$27.9M,1,$17.9B,,$17928.4B,27.853680934,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2003,50.019847826," (adjusted for inflation, 2019 dollars)",2003,,$50.0M,1,$16.5B,,$16471.0B,50.019847826,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2004,20.300979354," (adjusted for inflation, 2019 dollars)",2004,,$20.3M,1,$16.7B,,$16707.8B,20.300979354,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2005,14.268619048," (adjusted for inflation, 2019 dollars)",2005,,$14.3M,1,$16.1B,,$16088.1B,14.268619048,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2006,9.764677083," (adjusted for inflation, 2019 dollars)",2006,,$9.8M,1,$14.9B,,$14912.7B,9.764677083,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2007,15.045901592," (adjusted for inflation, 2019 dollars)",2007,,$15.0M,1,$13.1B,,$13135.4B,15.045901592,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2008,4.156001078," (adjusted for inflation, 2019 dollars)",2008,,$4.2M,1,$10.4B,,$10421.8B,4.156001078,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2009,3.694172567," (adjusted for inflation, 2019 dollars)",2009,,$3.7M,1,$9.3B,,$9332.0B,3.694172567,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2010,3.400068331," (adjusted for inflation, 2019 dollars)",2010,,$3.4M,1,$8.2B,,$8223.2B,3.400068331,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2011,3.977965137," (adjusted for inflation, 2019 dollars)",2011,,$4.0M,1,$8.1B,,$8110.0B,3.977965137,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2012,3.591198320," (adjusted for inflation, 2019 dollars)",2012,,$3.6M,1,$7.8B,,$7812.2B,3.591198320,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2013,2.684056894," (adjusted for inflation, 2019 dollars)",2013,,$2.7M,1,$7.7B,,$7720.6B,2.684056894,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2014,3.905023683," (adjusted for inflation, 2019 dollars)",2014,,$3.9M,1,$7.2B,,$7229.8B,3.905023683,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2015,1.291079457," (adjusted for inflation, 2019 dollars)",2015,,$1.3M,1,$7.2B,,$7238.6B,1.291079457,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2016,0.280361354," (adjusted for inflation, 2019 dollars)",2016,,$0.3M,1,$8.1B,,$8072.8B,0.280361354,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2017,1.542258972," (adjusted for inflation, 2019 dollars)",2017,,$1.5M,1,$9.2B,,$9174.7B,1.542258972,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2018,0.157981482," (adjusted for inflation, 2019 dollars)",2018,,$0.2M,1,$10.0B,,$10024.6B,0.157981482,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD Single,Value (Adjusted),2019,0.181678878," (adjusted for inflation, 2019 dollars)",2019,,$0.2M,1,$11.1B,,$11111.6B,0.181678878,2019
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1973,437.611081081," (adjusted for inflation, 2019 dollars)",1973,,$437.6M,1,$11.6B,,$11611.7B,437.611081081,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1974,452.196559838," (adjusted for inflation, 2019 dollars)",1974,,$452.2M,1,$11.4B,,$11407.1B,452.196559838,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1975,469.496498141," (adjusted for inflation, 2019 dollars)",1975,,$469.5M,1,$11.4B,,$11350.1B,469.496498141,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1976,654.643671353," (adjusted for inflation, 2019 dollars)",1976,,$654.6M,1,$12.3B,,$12298.0B,654.643671353,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1977,1053.003089109," (adjusted for inflation, 2019 dollars)",1977,$1.1B,,1,$14.8B,,$14769.0B,1053.003089109,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1978,1763.719610429," (adjusted for inflation, 2019 dollars)",1978,$1.8B,,1,$16.2B,,$16199.7B,1763.719610429,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1979,2044.551710744," (adjusted for inflation, 2019 dollars)",1979,$2.0B,,1,$12.9B,,$12943.1B,2044.551710744,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1980,2187.356614078," (adjusted for inflation, 2019 dollars)",1980,$2.2B,,1,$11.4B,,$11423.9B,2187.356614078,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1981,2989.133768977," (adjusted for inflation, 2019 dollars)",1981,$3.0B,,1,$11.2B,,$11176.6B,2989.133768977,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1982,3667.949393782," (adjusted for inflation, 2019 dollars)",1982,$3.7B,,1,$9.6B,,$9613.2B,3667.949393782,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1983,4648.285756024," (adjusted for inflation, 2019 dollars)",1983,$4.6B,,1,$9.7B,,$9719.1B,4648.285756024,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1984,5865.839483157," (adjusted for inflation, 2019 dollars)",1984,$5.9B,,1,$10.7B,,$10666.0B,5865.839483157,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1985,5729.710552974," (adjusted for inflation, 2019 dollars)",1985,$5.7B,,1,$10.4B,,$10365.3B,5729.710552974,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1986,5830.425834854," (adjusted for inflation, 2019 dollars)",1986,$5.8B,,1,$10.8B,,$10825.1B,5830.425834854,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1987,6660.810060739," (adjusted for inflation, 2019 dollars)",1987,$6.7B,,1,$12.5B,,$12521.8B,6660.810060739,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1988,7315.507275571," (adjusted for inflation, 2019 dollars)",1988,$7.3B,,1,$13.5B,,$13517.0B,7315.507275571,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1989,6898.20315," (adjusted for inflation, 2019 dollars)",1989,$6.9B,,1,$13.6B,,$13566.7B,6898.20315,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1990,6792.221628156," (adjusted for inflation, 2019 dollars)",1990,$6.8B,,1,$14.8B,,$14750.8B,6792.221628156,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1991,5668.002035242," (adjusted for inflation, 2019 dollars)",1991,$5.7B,,1,$14.7B,,$14705.3B,5668.002035242,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1992,5678.573835353," (adjusted for inflation, 2019 dollars)",1992,$5.7B,,1,$16.4B,,$16443.7B,5678.573835353,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1993,5158.786716955," (adjusted for inflation, 2019 dollars)",1993,$5.2B,,1,$17.8B,,$17775.0B,5158.786716955,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1994,5134.531004049," (adjusted for inflation, 2019 dollars)",1994,$5.1B,,1,$20.8B,,$20818.3B,5134.531004049,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1995,3864.379692913," (adjusted for inflation, 2019 dollars)",1995,$3.9B,,1,$20.7B,,$20667.8B,3864.379692913,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1996,3104.546093690," (adjusted for inflation, 2019 dollars)",1996,$3.1B,,1,$20.4B,,$20422.9B,3104.546093690,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1997,2425.476099065," (adjusted for inflation, 2019 dollars)",1997,$2.4B,,1,$19.5B,,$19491.7B,2425.476099065,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1998,2227.039106135," (adjusted for inflation, 2019 dollars)",1998,$2.2B,,1,$21.5B,,$21505.3B,2227.039106135,1998
